Date,Signal,Action,Strategy,Ticker
2018-02-05,1,Buy/Long,Z-Score,SPY
2018-02-08,1,Buy/Long,Z-Score,SPY
2018-03-22,1,Buy/Long,Z-Score,SPY
2018-03-23,1,Buy/Long,Z-Score,SPY
2018-05-10,-1,Sell/Short,Z-Score,SPY
2018-05-11,-1,Sell/Short,Z-Score,SPY
2018-06-06,-1,Sell/Short,Z-Score,SPY
2018-06-07,-1,Sell/Short,Z-Score,SPY
2018-06-08,-1,Sell/Short,Z-Score,SPY
2018-06-27,1,Buy/Long,Z-Score,SPY
2018-08-07,-1,Sell/Short,Z-Score,SPY
2018-08-27,-1,Sell/Short,Z-Score,SPY
2018-08-28,-1,Sell/Short,Z-Score,SPY
2018-08-29,-1,Sell/Short,Z-Score,SPY
2018-09-20,-1,Sell/Short,Z-Score,SPY
2018-10-10,1,Buy/Long,Z-Score,SPY
2018-10-11,1,Buy/Long,Z-Score,SPY
2018-10-12,1,Buy/Long,Z-Score,SPY
2018-10-15,1,Buy/Long,Z-Score,SPY
2018-10-24,1,Buy/Long,Z-Score,SPY
2018-12-17,1,Buy/Long,Z-Score,SPY
2018-12-19,1,Buy/Long,Z-Score,SPY
2018-12-20,1,Buy/Long,Z-Score,SPY
2018-12-21,1,Buy/Long,Z-Score,SPY
2018-12-24,1,Buy/Long,Z-Score,SPY
2019-03-18,-1,Sell/Short,Z-Score,SPY
2019-03-21,-1,Sell/Short,Z-Score,SPY
2019-05-13,1,Buy/Long,Z-Score,SPY
2019-05-31,1,Buy/Long,Z-Score,SPY
2019-07-03,-1,Sell/Short,Z-Score,SPY
2019-08-01,1,Buy/Long,Z-Score,SPY
2019-08-02,1,Buy/Long,Z-Score,SPY
2019-08-05,1,Buy/Long,Z-Score,SPY
2019-08-06,1,Buy/Long,Z-Score,SPY
2019-09-05,-1,Sell/Short,Z-Score,SPY
2019-10-01,1,Buy/Long,Z-Score,SPY
2019-10-02,1,Buy/Long,Z-Score,SPY
2019-10-03,1,Buy/Long,Z-Score,SPY
2019-10-08,1,Buy/Long,Z-Score,SPY
2019-12-12,-1,Sell/Short,Z-Score,SPY
2019-12-16,-1,Sell/Short,Z-Score,SPY
2020-01-16,-1,Sell/Short,Z-Score,SPY
2020-01-17,-1,Sell/Short,Z-Score,SPY
2020-02-25,1,Buy/Long,Z-Score,SPY
2020-02-26,1,Buy/Long,Z-Score,SPY
2020-02-27,1,Buy/Long,Z-Score,SPY
2020-02-28,1,Buy/Long,Z-Score,SPY
2020-03-09,1,Buy/Long,Z-Score,SPY
2020-03-12,1,Buy/Long,Z-Score,SPY
2020-03-16,1,Buy/Long,Z-Score,SPY
2020-05-27,-1,Sell/Short,Z-Score,SPY
2020-06-05,-1,Sell/Short,Z-Score,SPY
2020-06-08,-1,Sell/Short,Z-Score,SPY
2020-08-06,-1,Sell/Short,Z-Score,SPY
2020-08-26,-1,Sell/Short,Z-Score,SPY
2020-08-28,-1,Sell/Short,Z-Score,SPY
2020-09-02,-1,Sell/Short,Z-Score,SPY
2020-10-12,-1,Sell/Short,Z-Score,SPY
2020-10-28,1,Buy/Long,Z-Score,SPY
2020-10-30,1,Buy/Long,Z-Score,SPY
2020-12-31,-1,Sell/Short,Z-Score,SPY
2021-01-07,-1,Sell/Short,Z-Score,SPY
2021-01-08,-1,Sell/Short,Z-Score,SPY
2021-03-04,1,Buy/Long,Z-Score,SPY
2021-04-05,-1,Sell/Short,Z-Score,SPY
2021-04-06,-1,Sell/Short,Z-Score,SPY
2021-04-09,-1,Sell/Short,Z-Score,SPY
2021-05-07,-1,Sell/Short,Z-Score,SPY
2021-05-12,1,Buy/Long,Z-Score,SPY
2021-06-25,-1,Sell/Short,Z-Score,SPY
2021-07-01,-1,Sell/Short,Z-Score,SPY
2021-07-02,-1,Sell/Short,Z-Score,SPY
2021-08-30,-1,Sell/Short,Z-Score,SPY
2021-09-20,1,Buy/Long,Z-Score,SPY
2021-09-21,1,Buy/Long,Z-Score,SPY
2021-09-30,1,Buy/Long,Z-Score,SPY
2021-10-19,-1,Sell/Short,Z-Score,SPY
2021-11-30,1,Buy/Long,Z-Score,SPY
2021-12-01,1,Buy/Long,Z-Score,SPY
2021-12-27,-1,Sell/Short,Z-Score,SPY
2022-01-19,1,Buy/Long,Z-Score,SPY
2022-01-20,1,Buy/Long,Z-Score,SPY
2022-01-21,1,Buy/Long,Z-Score,SPY
2022-01-24,1,Buy/Long,Z-Score,SPY
2022-01-25,1,Buy/Long,Z-Score,SPY
2022-02-23,1,Buy/Long,Z-Score,SPY
2022-04-22,1,Buy/Long,Z-Score,SPY
2022-04-26,1,Buy/Long,Z-Score,SPY
2022-04-27,1,Buy/Long,Z-Score,SPY
2022-04-29,1,Buy/Long,Z-Score,SPY
2022-05-09,1,Buy/Long,Z-Score,SPY
2022-06-13,1,Buy/Long,Z-Score,SPY
2022-06-14,1,Buy/Long,Z-Score,SPY
2022-06-16,1,Buy/Long,Z-Score,SPY
2022-07-20,-1,Sell/Short,Z-Score,SPY
2022-07-21,-1,Sell/Short,Z-Score,SPY
2022-07-28,-1,Sell/Short,Z-Score,SPY
2022-07-29,-1,Sell/Short,Z-Score,SPY
2022-08-30,1,Buy/Long,Z-Score,SPY
2022-08-31,1,Buy/Long,Z-Score,SPY
2022-09-23,1,Buy/Long,Z-Score,SPY
2022-09-26,1,Buy/Long,Z-Score,SPY
2022-10-25,-1,Sell/Short,Z-Score,SPY
2022-11-11,-1,Sell/Short,Z-Score,SPY
2022-12-16,1,Buy/Long,Z-Score,SPY
2022-12-19,1,Buy/Long,Z-Score,SPY
2023-01-13,-1,Sell/Short,Z-Score,SPY
2023-02-02,-1,Sell/Short,Z-Score,SPY
2023-03-10,1,Buy/Long,Z-Score,SPY
2023-03-31,-1,Sell/Short,Z-Score,SPY
2023-04-03,-1,Sell/Short,Z-Score,SPY
2023-05-18,-1,Sell/Short,Z-Score,SPY
2023-06-02,-1,Sell/Short,Z-Score,SPY
2023-06-05,-1,Sell/Short,Z-Score,SPY
2023-06-15,-1,Sell/Short,Z-Score,SPY
2023-07-13,-1,Sell/Short,Z-Score,SPY
2023-07-18,-1,Sell/Short,Z-Score,SPY
2023-08-16,1,Buy/Long,Z-Score,SPY
2023-08-17,1,Buy/Long,Z-Score,SPY
2023-09-21,1,Buy/Long,Z-Score,SPY
2023-09-22,1,Buy/Long,Z-Score,SPY
2023-09-26,1,Buy/Long,Z-Score,SPY
2023-10-26,1,Buy/Long,Z-Score,SPY
2023-10-27,1,Buy/Long,Z-Score,SPY
2023-12-12,-1,Sell/Short,Z-Score,SPY
2023-12-13,-1,Sell/Short,Z-Score,SPY
2023-12-14,-1,Sell/Short,Z-Score,SPY
2023-12-15,-1,Sell/Short,Z-Score,SPY
2023-12-18,-1,Sell/Short,Z-Score,SPY
2023-12-19,-1,Sell/Short,Z-Score,SPY
2024-01-19,-1,Sell/Short,Z-Score,SPY
2024-01-22,-1,Sell/Short,Z-Score,SPY
2024-01-23,-1,Sell/Short,Z-Score,SPY
2024-02-22,-1,Sell/Short,Z-Score,SPY
2024-03-01,-1,Sell/Short,Z-Score,SPY
2024-03-20,-1,Sell/Short,Z-Score,SPY
2024-03-21,-1,Sell/Short,Z-Score,SPY
2024-04-15,1,Buy/Long,Z-Score,SPY
2024-04-16,1,Buy/Long,Z-Score,SPY
2024-04-17,1,Buy/Long,Z-Score,SPY
2024-04-18,1,Buy/Long,Z-Score,SPY
2024-04-19,1,Buy/Long,Z-Score,SPY
2024-06-12,-1,Sell/Short,Z-Score,SPY
2024-06-13,-1,Sell/Short,Z-Score,SPY
2024-06-17,-1,Sell/Short,Z-Score,SPY
2024-07-10,-1,Sell/Short,Z-Score,SPY
2024-07-25,1,Buy/Long,Z-Score,SPY
2024-08-02,1,Buy/Long,Z-Score,SPY
2024-08-05,1,Buy/Long,Z-Score,SPY
2024-10-14,-1,Sell/Short,Z-Score,SPY
2024-10-31,1,Buy/Long,Z-Score,SPY
2024-11-06,-1,Sell/Short,Z-Score,SPY
2024-11-07,-1,Sell/Short,Z-Score,SPY
2024-11-08,-1,Sell/Short,Z-Score,SPY
2024-12-18,1,Buy/Long,Z-Score,SPY
