Date,Price,Position
2018-02-06,239.594482421875,1.0
2018-02-13,236.80799865722656,0.0
2018-03-12,247.95391845703125,-1.0
2018-03-14,245.0873565673828,0.0
2018-03-23,230.65052795410156,1.0
2018-03-27,232.92979431152344,0.0
2018-03-28,232.2415313720703,1.0
2018-04-02,230.1321563720703,0.0
2018-04-03,233.08180236816406,1.0
2018-04-04,235.57557678222656,0.0
2018-04-18,241.68031311035156,-1.0
2018-04-20,238.30166625976562,0.0
2018-05-11,243.879150390625,-1.0
2018-05-16,243.33384704589844,0.0
2018-06-05,245.8902130126953,-1.0
2018-06-14,249.13479614257812,0.0
2018-06-28,243.2145233154297,1.0
2018-07-02,244.08535766601562,0.0
2018-07-11,248.57449340820312,-1.0
2018-07-12,250.82810974121094,0.0
2018-07-13,251.025634765625,-1.0
2018-07-17,251.81565856933594,0.0
2018-07-18,252.3453826904297,-1.0
2018-07-20,251.10647583007812,0.0
2018-07-26,254.3924102783203,-1.0
2018-07-27,252.6686553955078,0.0
2018-08-06,255.5596923828125,-1.0
2018-08-10,254.2308349609375,0.0
2018-08-22,256.93341064453125,-1.0
2018-08-23,256.59222412109375,0.0
2018-08-27,260.174560546875,-1.0
2018-09-04,260.2015686035156,0.0
2018-09-21,263.34552001953125,-1.0
2018-09-25,262.2272033691406,0.0
2018-10-10,250.99847412109375,1.0
2018-10-17,252.93765258789062,0.0
2018-10-25,243.58486938476562,1.0
2018-10-26,239.3008575439453,0.0
2018-10-29,237.97508239746094,1.0
2018-10-31,244.0809783935547,0.0
2018-11-08,252.98268127441406,-1.0
2018-11-09,250.5115203857422,0.0
2018-11-21,239.02125549316406,1.0
2018-11-23,237.4249267578125,0.0
2018-11-26,241.258056640625,1.0
2018-11-27,242.0697021484375,0.0
2018-12-10,238.16448974609375,1.0
2018-12-11,238.2186279296875,0.0
2018-12-17,230.30897521972656,1.0
2018-12-27,225.04067993164062,0.0
2019-01-22,238.4575958251953,-1.0
2019-01-23,238.95657348632812,0.0
2019-02-01,244.9892120361328,-1.0
2019-02-08,245.36114501953125,0.0
2019-02-13,249.46156311035156,-1.0
2019-02-15,251.6205596923828,0.0
2019-02-19,252.05599975585938,-1.0
2019-02-22,253.22637939453125,0.0
2019-03-14,255.0587921142578,-1.0
2019-03-15,256.31890869140625,0.0
2019-03-18,257.2483215332031,-1.0
2019-03-21,259.4350891113281,0.0
2019-03-22,254.44189453125,-1.0
2019-03-25,254.2505340576172,0.0
2019-04-02,260.5650329589844,-1.0
2019-04-10,262.6788330078125,0.0
2019-04-15,264.20947265625,-1.0
2019-04-16,264.3826599121094,0.0
2019-04-24,266.268798828125,-1.0
2019-04-25,266.104736328125,0.0
2019-04-29,267.76312255859375,-1.0
2019-05-02,265.3120422363281,0.0
2019-05-06,266.806396484375,-1.0
2019-05-07,262.350830078125,0.0
2019-05-09,261.1936340332031,1.0
2019-05-13,255.90887451171875,0.0
2019-05-14,258.22320556640625,1.0
2019-05-16,262.1413269042969,0.0
2019-05-29,253.54901123046875,1.0
2019-05-31,250.8153839111328,0.0
2019-06-03,250.17762756347656,1.0
2019-06-05,257.8222961425781,0.0
2019-06-11,263.2345886230469,-1.0
2019-06-12,262.7699279785156,0.0
2019-06-19,267.0250549316406,-1.0
2019-06-24,268.8548278808594,0.0
2019-07-02,271.4093017578125,-1.0
2019-07-09,272.1052551269531,0.0
2019-07-15,275.3647155761719,-1.0
2019-07-17,272.6087341308594,0.0
2019-07-29,276.0147399902344,-1.0
2019-07-30,275.3371887207031,0.0
2019-08-02,267.9209289550781,1.0
2019-08-09,267.00531005859375,0.0
